dataset,group,table_id,gt_text,vision_text,text_text,winner,vt_diff,vision_vs_gt,text_vs_gt
SciTSR,test,test::0907.3177v1.1,block frequency (m = 100),block frequency (m = 100),block frequency (m=100),vision,symbolic,correct,symbolic
SciTSR,test,test::0907.3177v1.1,name of test,,name of test,text,missing cell,missing cell,correct
SciTSR,test,test::0907.3177v1.1,"non-overlapping template (m = 9, b = 110001000)","non-overlapping template (m = 9, b = 110001000)","non-overlapping template (m=9, b=110001000)",vision,symbolic,correct,symbolic
SciTSR,test,test::0908.1528v2.1,time-dependent,time-dependent,,vision,missing cell,correct,missing cell
SciTSR,test,test::0908.1528v2.1,nodes,nodes,,vision,missing cell,correct,missing cell
SciTSR,test,test::0908.1528v2.1,edges,edges,,vision,missing cell,correct,missing cell
SciTSR,test,test::0908.3280v2.1,similarity,similarity,,vision,missing cell,correct,missing cell
SciTSR,test,test::0908.3280v2.1,pr,pr.,pr,text,truncation / merge,truncation / merge,correct
SciTSR,test,test::0908.3280v2.1,#iterations,#iterations,,vision,missing cell,correct,missing cell
SciTSR,test,test::0908.3280v2.1,cos θ,cos θ,cosθ,vision,symbolic,correct,symbolic
SciTSR,test,test::0910.1244v1.4,instance,,instance,text,missing cell,missing cell,correct
SciTSR,test,test::0910.1244v1.4,,instance,,text,empty content,empty content,correct
SciTSR,test,test::0911.4416v1.5,proposed contextual methods,proposed contextual methods,,vision,missing cell,correct,missing cell
SciTSR,test,test::0911.4416v1.5,fuzzy,,fuzzy,text,missing cell,missing cell,correct
SciTSR,test,test::0911.4416v1.5,method,,method,text,missing cell,missing cell,correct
SciTSR,test,test::0911.4416v1.5,mrf,,mrf,text,missing cell,missing cell,correct
SciTSR,test,test::0911.4416v1.5,,,,text,missing cell,missing cell,correct
SciTSR,test,test::0911.4416v1.5,rulebase,,rulebase,text,missing cell,missing cell,correct
SciTSR,test,test::0912.4571v2.3,alm,,alm,text,missing cell,missing cell,correct
SciTSR,test,test::0912.4571v2.3,exact adm,inexact adm,exact adm,text,truncation / merge,truncation / merge,correct
SciTSR,test,test::0912.4571v2.3,inexact adm,alm,inexact adm,text,other semantic,other semantic,correct
SciTSR,test,test::1003.0628v1.3,h = i,h = i,h=i,vision,symbolic,correct,symbolic
SciTSR,test,test::1003.0628v1.3,h = i,h = i,h=i,vision,symbolic,correct,symbolic
SciTSR,test,test::1309.7393v1.9,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::1309.7393v1.9,christos faloutsos,christos faloutsos,christes faloutsos,vision,other semantic,correct,other semantic
SciTSR,test,test::1309.7393v1.9,kenji yamanishi,kenji yamanishi,kenji yarnanishi,vision,other semantic,correct,other semantic
SciTSR,test,test::1309.7393v1.9,cvpapa,cvpapa,cvpa,vision,truncation / merge,correct,truncation / merge
SciTSR,test,test::1309.7393v1.9,kenji yamanishi,kenji yamanishi,kenji yarnanishi,vision,other semantic,correct,other semantic
SciTSR,test,test::1309.7393v1.9,eamonn keogh,eamonn keogh,eamon kesogh,vision,other semantic,correct,other semantic
SciTSR,test,test::1309.7393v1.9,rank,rank,,vision,missing cell,correct,missing cell
SciTSR,test,test::1309.7393v1.9,padhraic smyth,padhraic smyth,bachraic smyth,vision,other semantic,correct,other semantic
SciTSR,test,test::1310.1050v1.6,hm hw-sw,hm hw-sw,hm,vision,truncation / merge,correct,truncation / merge
SciTSR,test,test::1310.1050v1.6,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::1310.1050v1.6,,,,vision,missing cell,correct,missing cell
SciTSR,test,test::1310.1975v1.1,ace04-roth-dev (68 docs),ace04-roth-dev (68 docs),,vision,missing cell,correct,missing cell
SciTSR,test,test::1310.1975v1.1,ace04-culotta-test (107 docs),ace04-culotta-test (107 docs),,vision,missing cell,correct,missing cell
SciTSR,test,test::1310.1975v1.1,pairwise,pairwise,,vision,missing cell,correct,missing cell
SciTSR,test,test::1310.3153v1.1,"[2,2]","[2, 2]","[2,2]",text,symbolic,symbolic,correct
SciTSR,test,test::1310.3153v1.1,"[2.4,o(log(m))]","[2.4, o(log(m))]","[2.4,o(log(m))]",text,symbolic,symbolic,correct
SciTSR,test,test::1310.3153v1.1,"[2,4]","[2, 4]","[2,4]",text,symbolic,symbolic,correct
SciTSR,test,test::1310.3447v2.2,,,,text,missing cell,missing cell,correct
SciTSR,test,test::1310.3447v2.2,28.01/0.089/1.13/ 120,28.01/0.089/1.13/120,28.01/0.089/1.13/ 120,text,symbolic,symbolic,correct
SciTSR,test,test::1310.3447v2.2,,,,text,missing cell,missing cell,correct
SciTSR,test,test::1310.4713v1.2,zero mean gaussian noise:,zero mean gaussian noise:,,vision,missing cell,correct,missing cell
SciTSR,test,test::1310.4713v1.2,general transformations:,general transformations:,,vision,missing cell,correct,missing cell
SciTSR,test,test::1310.4713v1.2,2 × 30 × 100,2 x 30 x 100,2 × 30 × 100,text,symbolic,symbolic,correct
SciTSR,test,test::1310.4713v1.2,2 × 30 × 100,2 x 30 x 100,2 × 30 × 100,text,symbolic,symbolic,correct
SciTSR,test,test::1310.4713v1.2,mean error of relative rotation estimation (see equation (??)),mean error of relative rotation estimation (see equation (??)),mean error of relative rotation estimation (see equation (3)),vision,other semantic,correct,other semantic
SciTSR,test,test::1310.4713v1.2,2 × 30 × 100,2 x 30 x 100,2 × 30 × 100,text,symbolic,symbolic,correct
SciTSR,test,test::1310.4713v1.2,mean error of joint pose estimation (see equation (??)),mean error of joint pose estimation (see equation (??)),mean error of joint pose estimation (see equation (3)),vision,other semantic,correct,other semantic
SciTSR,test,test::1310.4713v1.2,2 × 30 × 100,2 x 30 x 100,2 × 30 × 100,text,symbolic,symbolic,correct
SciTSR,test,test::1310.4713v1.2,mean error of relative translation estimation (see equation (??)),mean error of relative translation estimation (see equation (??)),mean error of relative translation estimation (see equation (3)),vision,other semantic,correct,other semantic
SciTSR,test,test::1310.4713v1.2,std error of relative rotation estimation (see equation (??)),std error of relative rotation estimation (see equation (??)),std error of relative rotation estimation (see equation (3)),vision,other semantic,correct,other semantic
SciTSR,test,test::1310.4713v1.2,std error of relative translation estimation (see equation (??)),std error of relative translation estimation (see equation (??)),std error of relative translation estimation (see equation (3)),vision,other semantic,correct,other semantic
SciTSR,test,test::1310.4713v1.2,std error of joint pose estimation (see equation (??)),std error of joint pose estimation (see equation (??)),std error of joint pose estimation (see equation (3)),vision,other semantic,correct,other semantic
SciTSR,test,test::1311.3735v1.2,fold,,fold,text,missing cell,missing cell,correct
SciTSR,test,test::1311.3735v1.2,(selection/construction),(selection/construction),,vision,missing cell,correct,missing cell
SciTSR,test,test::1311.3735v1.2,cll,,cll,text,missing cell,missing cell,correct
SciTSR,test,test::1311.6079v2.8,criterion,,criterion,text,missing cell,missing cell,correct
SciTSR,test,test::1311.6079v2.8,#clusters,,#clusters,text,missing cell,missing cell,correct
SciTSR,test,test::1311.6372v3.4,α = 1000,α = 1000,α=1000,vision,symbolic,correct,symbolic
SciTSR,test,test::1311.6372v3.4,α = 10,α = 10,α=10,vision,symbolic,correct,symbolic
SciTSR,test,test::1311.6372v3.4,,n,,text,empty content,empty content,correct
SciTSR,test,test::1311.6372v3.4,α = 100,α = 100,α=100,vision,symbolic,correct,symbolic
SciTSR,test,test::1311.6372v3.4,α = 1,α = 1,α=1,vision,symbolic,correct,symbolic
SciTSR,test,test::1311.6372v3.4,n,,n,text,empty content,empty content,correct
SciTSR,test,test::1312.0072v1.4,"r = 3, p = 16","r = 3, p = 16",,vision,missing cell,correct,missing cell
SciTSR,test,test::1312.0072v1.4,"r = 1, p = 8","r = 1, p = 8",,vision,missing cell,correct,missing cell
SciTSR,test,test::1312.2873v2.6,rv-10-,rv-10-,,vision,missing cell,correct,missing cell
SciTSR,test,test::1312.2873v2.6,cube-,cube-,,vision,missing cell,correct,missing cell
SciTSR,test,test::1312.2873v2.6,rv-15-,rv-15-,,vision,missing cell,correct,missing cell
SciTSR,test,test::1312.6995v3.6,79.3,79.3,,vision,missing cell,correct,missing cell
SciTSR,test,test::1312.6995v3.6,81.4,81.4,79.3,vision,numeric value,correct,numeric value
SciTSR,test,test::1402.3371v1.4,,,,text,missing cell,missing cell,correct
SciTSR,test,test::1402.3371v1.4,,,,text,missing cell,missing cell,correct
SciTSR,test,test::1402.3371v1.4,mean,mean,,vision,missing cell,correct,missing cell
SciTSR,test,test::1402.3371v1.4,,,,text,missing cell,missing cell,correct
SciTSR,test,test::1402.3371v1.4,pair,,pair,text,missing cell,missing cell,correct
SciTSR,test,test::1402.3371v1.4,term a,,term a,text,missing cell,missing cell,correct
