dataset,group,table_id,gt_text,vision_text,text_text,winner,vt_diff,vision_vs_gt,text_vs_gt
A25,Biology,Biology::CAM4_12_18786-1,genes,genes,,vision,empty content,correct,empty content
A25,Biology,Biology::CAM4_12_18786-1,number of variants (% of all p/ lp variants identified),number of variants (% of all p/lp variants identified),number of variants (% of all p/ lp variants identified),text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,"number of variants with pre-existing personal and/or family criteria for genetic analysis, phenotype-related or not (% if relevant)","number of variants with pre-existing personal and/or family criteria for genetic analysis, phenotype-related or not (% if relevant)","number of existing personal and/or family criteria for genetic analysis, phenotype-related or not (% if relevant)",vision,other semantic,correct,other semantic
A25,Biology,Biology::CAM4_12_18786-1,number of variants with analysis criteria not identified by the oncologist (% if relevant),number of variants with analysis criteria not identified by the oncologist (% if relevant),number of,vision,truncation / merge,correct,truncation / merge
A25,Biology,Biology::CAM4_12_18786-1,number of incidental variants (% if relevant),number of incidental variants (% if relevant),number of analysis criteria not identified by the oncologist (% if relevant),vision,other semantic,correct,other semantic
A25,Biology,Biology::CAM4_12_18786-1,7(8.6),7 (8.6),7(8.6),text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,5/7 (71.4),5/7 (71.4),5 / 7(71.4),vision,symbolic,correct,symbolic
A25,Biology,Biology::CAM4_12_18786-1,7/7,7/7,7 / 7,vision,symbolic,correct,symbolic
A25,Biology,Biology::CAM4_12_18786-1,0/7,0/7,0 / 7,vision,symbolic,correct,symbolic
A25,Biology,Biology::CAM4_12_18786-1,1/7 (14.3),1/7 (14.3),1 / 7(14.3),vision,symbolic,correct,symbolic
A25,Biology,Biology::CAM4_12_18786-1,15(18.5),15 (18.5),15(18.5),text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,4/15 (26.7),4/15 (26.7),4 / 15(26.7),vision,symbolic,correct,symbolic
A25,Biology,Biology::CAM4_12_18786-1,9/15 (60.0),9/15 (60.0),9 / 15(60.0),vision,symbolic,correct,symbolic
A25,Biology,Biology::CAM4_12_18786-1,5/9 (55.6),5/9 (55.6),5 / 9(55.6),vision,symbolic,correct,symbolic
A25,Biology,Biology::CAM4_12_18786-1,2/15 (13.3),2/15 (13.3),2 / 15(13.3),vision,symbolic,correct,symbolic
A25,Biology,Biology::CAM4_12_18786-1,2(2.5),2 (2.5),2(2.5),text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,0/2,0/2,0 / 2,vision,symbolic,correct,symbolic
A25,Biology,Biology::CAM4_12_18786-1,2 / 2,2/2,2 / 2,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,1 / 2,1/2,1 / 2,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,0 / 2,0/2,0 / 2,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,1(1.2),1 (1.2),1(1.2),text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,0 / 1,0/1,0 / 1,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,1 / 1,1/1,1 / 1,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,0 / 1,0/1,0 / 1,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,0 / 1,0/1,0 / 1,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,2(2.5),2 (2.5),2(2.5),text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,1 / 2,1/2,1 / 2,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,2 / 2,2/2,2 / 2,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,1 / 2,1/2,1 / 2,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,2(2.5),2 (2.5),2(2.5),text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,1 / 2,1/2,1 / 2,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,1 / 2,1/2,1 / 2,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,0 / 1,0/1,0 / 1,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,1 / 2,1/2,1 / 2,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,2(2.5),2 (2.5),2(2.5),text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,0 / 2,0/2,0 / 2,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,0 / 2,0/2,0 / 2,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,1 / 2,1/2,1 / 2,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,1(1.2),1 (1.2),1(1.2),text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,0 / 1,0/1,0 / 1,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,0 / 1,0/1,0 / 1,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,0 / 1,0/1,0 / 1,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,0 / 1,0/1,0 / 1,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,n/a,n/a,1 / 1,vision,other semantic,correct,other semantic
A25,Biology,Biology::CAM4_12_18786-1,1(1.2),1 (1.2),1(1.2),text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,0 / 1,1/1,0 / 1,text,numeric value,numeric value,correct
A25,Biology,Biology::CAM4_12_18786-1,1(1.2),1 (1.2),1(1.2),text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,1 / 1,1/1,1 / 1,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,0 / 1,0/1,0 / 1,text,symbolic,symbolic,correct
A25,Biology,Biology::CAM4_12_18786-1,7 (8.6),7 (8.6),7(8.6),vision,symbolic,correct,symbolic
A25,Biology,Biology::CAM4_12_18786-1,2/7 (28.6),2/7 (28.6),2 / 7(28.6),vision,symbolic,correct,symbolic
A25,Biology,Biology::CAM4_12_18786-1,1 (1.2),1 (1.2),1(1.2),vision,symbolic,correct,symbolic
A25,Biology,Biology::CAM4_12_18786-1,0/1,0/1,0 / 1,vision,symbolic,correct,symbolic
A25,Biology,Biology::CAM4_12_18786-1,0/1,0/1,0 / 1,vision,symbolic,correct,symbolic
A25,Biology,Biology::ECE_9_6901-A1,no samples after fullsib removal,no samples after fullsib removal,no samples after fulilsb removal,vision,other semantic,correct,other semantic
A25,Biology,Biology::ECE_9_6901-A1,lokanga,iokanga,lokanga,text,other semantic,other semantic,correct
A25,Biology,Biology::acel0014_0725-1,"overexpression of far2 leads to upregulation of paf and tgf β, profibrotic factors.",overexpression of far2 leads to upregulation of paf and tgfβ; profibrotic factors.,"overexpression of far2 leads to upregulation of paf and tgf β, profibrotic factors.",text,other semantic,other semantic,correct
A25,Biology,Biology::bioengineering_10_00154-1,12q13.13,12q13.13,12q 13.13,vision,symbolic,correct,symbolic
A25,Biology,Biology::bioengineering_10_00154-1,17q21.2,17q21.2,17 q 21.2,vision,symbolic,correct,symbolic
A25,Biology,Biology::bioengineering_10_00154-1,ad,,ad,text,missing cell,missing cell,correct
A25,Biology,Biology::bioengineering_10_00154-1,%127600,%127600,% 127600,vision,symbolic,correct,symbolic
A25,Biology,Biology::bioengineering_10_00154-1,4q35,4q35,4 q 35,vision,symbolic,correct,symbolic
A25,Biology,Biology::bioengineering_10_00154-1,"pachyonychia congenita, pc",,"pachyonychia congenita, pc",text,missing cell,missing cell,correct
A25,Biology,Biology::bioengineering_10_00154-1,17q21.2,17q21.2,17 q 21.2,vision,symbolic,correct,symbolic
A25,Biology,Biology::bioengineering_10_00154-1,pachyonychia congenita 2/pc2,pachyonychia congenita 2/pc2,pachyonychia congenita 2 / pc 2,vision,symbolic,correct,symbolic
A25,Biology,Biology::bioengineering_10_00154-1,17q21.2,17q21.2,17 q 21.2,vision,symbolic,correct,symbolic
A25,Biology,Biology::bioengineering_10_00154-1,pachyonychia congenita 3/pc3,pachyonychia congenita 3/pc3,pachyonychia congenita3/pc3,vision,symbolic,correct,symbolic
A25,Biology,Biology::bioengineering_10_00154-1,12q13.13,12q13.13,12 q 13.13,vision,symbolic,correct,symbolic
A25,Biology,Biology::bioengineering_10_00154-1,pachyonychia congenita 4/pc4,pachyonychia congenita 4/pc4,pachyonychia congenita4/pc4,vision,symbolic,correct,symbolic
A25,Biology,Biology::bioengineering_10_00154-1,12q13.13,12q13.13,12 q 13.13,vision,symbolic,correct,symbolic
A25,Biology,Biology::bioengineering_10_00154-1,3q26.2,3q26.2,3 q 26.2,vision,symbolic,correct,symbolic
A25,Biology,Biology::bioengineering_10_00154-1,5p15.33,5p15.33,5p 15.33,vision,symbolic,correct,symbolic
A25,Biology,Biology::bioengineering_10_00154-1,#613990- #268130,#613990-#268130,#613990- #268130,text,symbolic,symbolic,correct
A25,Biology,Biology::bioengineering_10_00154-1,14q12,14q12,14 q 12,vision,symbolic,correct,symbolic
A25,Biology,Biology::bioengineering_10_00154-1,20q13.33,20q13.33,20 q 13.33,vision,symbolic,correct,symbolic
